17380,2985,6401,.466,979,2618,.374,2006,3783,.530,1160,1496,.775,765,2421,3186,1689,556,383,1012,1471,8109,36,36,39,33,1.46,-0.14,1.32,114.0,112.5,98.3,.234,.409,.543,12.5,24.3,.181,.539,12.8,78.1,.215,10,72,17330,3221,6610,.487,1038,2669,.389,2183,3941,.554,1169,1539,.760,741,2724,3465,1834,585,334,995,1244,8649,46,26,48,24,5.89,-0.32,5.57,117.2,111.4,102.2,.233,.404,.566,12.0,23.3,.177,.536,11.5,79.7,.157,30,1,133,133,0,0,325,575,25,16,36,45,252
17405,3085,6608,.467,803,2258,.356,2282,4350,.525,1184,1536,.771,803,2543,3346,1938,655,364,957,1349,8157,38,34,38,34,1.03,0.04,1.07,112.0,111.0,100.4,.232,.342,.528,11.6,24.2,.179,.535,13.1,78.3,.196,10,72,17305,2973,6347,.468,1048,2789,.376,1925,3558,.541,1193,1520,.785,574,2524,3098,1991,587,342,1080,1526,8187,39,33,38,34,1.06,0.04,1.10,111.1,110.1,102.2,.239,.439,.551,13.3,17.9,.188,.522,13.1,76.6,.223,5,8,130,128,0,0,53,335,27,20,35,40,252
17430,2981,6257,.476,811,2169,.374,2170,4088,.531,1409,1836,.767,722,2522,3244,1706,655,447,1040,1456,8182,49,23,48,24,5.58,-0.31,5.28,113.2,107.6,99.5,.293,.347,.541,12.8,23.2,.225,.521,13.8,78.2,.200,15,72,17380,2824,6029,.468,932,2606,.358,1892,3423,.553,1201,1520,.790,579,2409,2988,1895,569,286,1013,1363,7781,40,32,36,36,0.03,-0.09,-0.06,111.2,111.2,96.6,.252,.432,.546,13.1,19.4,.199,.542,13.8,77.9,.183,10,-11,134,132,0,0,215,345,22,19,38,45,253
17305,2958,6287,.470,994,2744,.362,1964,3543,.554,1186,1524,.778,657,2463,3120,1647,450,311,869,1396,8096,42,30,41,31,2.26,-0.01,2.26,115.4,113.0,97.3,.242,.436,.550,11.1,21.1,.189,.534,11.5,77.8,.197,10,72,17480,3118,6357,.490,940,2490,.378,2178,3867,.563,1124,1347,.834,630,2462,3092,1939,517,312,902,1374,8300,51,21,49,23,5.82,-0.15,5.67,117.2,111.3,97.2,.212,.392,.564,11.5,20.8,.177,.534,12.4,78.5,.194,25,-8,130,130,0,0,528,304,14,20,50,42,253
17305,2973,6347,.468,1048,2789,.376,1925,3558,.541,1193,1520,.785,574,2524,3098,1991,587,342,1080,1526,8187,39,33,38,34,1.06,0.04,1.10,111.1,110.1,102.2,.239,.439,.551,13.3,17.9,.188,.522,13.1,76.6,.223,5,72,17405,3085,6608,.467,803,2258,.356,2282,4350,.525,1184,1536,.771,803,2543,3346,1938,655,364,957,1349,8157,38,34,38,34,1.03,0.04,1.07,112.0,111.0,100.4,.232,.342,.528,11.6,24.2,.179,.535,13.1,78.3,.196,10,8,130,132,0,0,335,53,20,27,40,35,254
17380,2985,6401,.466,979,2618,.374,2006,3783,.530,1160,1496,.775,765,2421,3186,1689,556,383,1012,1471,8109,36,36,39,33,1.46,-0.14,1.32,114.0,112.5,98.3,.234,.409,.543,12.5,24.3,.181,.539,12.8,78.1,.215,10,72,17330,3221,6610,.487,1038,2669,.389,2183,3941,.554,1169,1539,.760,741,2724,3465,1834,585,334,995,1244,8649,46,26,48,24,5.89,-0.32,5.57,117.2,111.4,102.2,.233,.404,.566,12.0,23.3,.177,.536,11.5,79.7,.157,30,1,133,133,0,0,325,575,25,16,36,45,252
17405,3085,6608,.467,803,2258,.356,2282,4350,.525,1184,1536,.771,803,2543,3346,1938,655,364,957,1349,8157,38,34,38,34,1.03,0.04,1.07,112.0,111.0,100.4,.232,.342,.528,11.6,24.2,.179,.535,13.1,78.3,.196,10,72,17305,2973,6347,.468,1048,2789,.376,1925,3558,.541,1193,1520,.785,574,2524,3098,1991,587,342,1080,1526,8187,39,33,38,34,1.06,0.04,1.10,111.1,110.1,102.2,.239,.439,.551,13.3,17.9,.188,.522,13.1,76.6,.223,5,8,130,128,0,0,53,335,27,20,35,40,252
17430,2981,6257,.476,811,2169,.374,2170,4088,.531,1409,1836,.767,722,2522,3244,1706,655,447,1040,1456,8182,49,23,48,24,5.58,-0.31,5.28,113.2,107.6,99.5,.293,.347,.541,12.8,23.2,.225,.521,13.8,78.2,.200,15,72,17380,2824,6029,.468,932,2606,.358,1892,3423,.553,1201,1520,.790,579,2409,2988,1895,569,286,1013,1363,7781,40,32,36,36,0.03,-0.09,-0.06,111.2,111.2,96.6,.252,.432,.546,13.1,19.4,.199,.542,13.8,77.9,.183,10,-11,134,132,0,0,215,345,22,19,38,45,253
17305,2958,6287,.470,994,2744,.362,1964,3543,.554,1186,1524,.778,657,2463,3120,1647,450,311,869,1396,8096,42,30,41,31,2.26,-0.01,2.26,115.4,113.0,97.3,.242,.436,.550,11.1,21.1,.189,.534,11.5,77.8,.197,10,72,17480,3118,6357,.490,940,2490,.378,2178,3867,.563,1124,1347,.834,630,2462,3092,1939,517,312,902,1374,8300,51,21,49,23,5.82,-0.15,5.67,117.2,111.3,97.2,.212,.392,.564,11.5,20.8,.177,.534,12.4,78.5,.194,25,-8,130,130,0,0,528,304,14,20,50,42,253
17305,2973,6347,.468,1048,2789,.376,1925,3558,.541,1193,1520,.785,574,2524,3098,1991,587,342,1080,1526,8187,39,33,38,34,1.06,0.04,1.10,111.1,110.1,102.2,.239,.439,.551,13.3,17.9,.188,.522,13.1,76.6,.223,5,72,17405,3085,6608,.467,803,2258,.356,2282,4350,.525,1184,1536,.771,803,2543,3346,1938,655,364,957,1349,8157,38,34,38,34,1.03,0.04,1.07,112.0,111.0,100.4,.232,.342,.528,11.6,24.2,.179,.535,13.1,78.3,.196,10,8,130,132,0,0,335,53,20,27,40,35,254
17405,3085,6608,.467,803,2258,.356,2282,4350,.525,1184,1536,.771,803,2543,3346,1938,655,364,957,1349,8157,38,34,38,34,1.03,0.04,1.07,112.0,111.0,100.4,.232,.342,.528,11.6,24.2,.179,.535,13.1,78.3,.196,10,72,17305,2973,6347,.468,1048,2789,.376,1925,3558,.541,1193,1520,.785,574,2524,3098,1991,587,342,1080,1526,8187,39,33,38,34,1.06,0.04,1.10,111.1,110.1,102.2,.239,.439,.551,13.3,17.9,.188,.522,13.1,76.6,.223,5,8,130,128,0,0,53,335,27,20,35,40,252
17305,2973,6347,.468,1048,2789,.376,1925,3558,.541,1193,1520,.785,574,2524,3098,1991,587,342,1080,1526,8187,39,33,38,34,1.06,0.04,1.10,111.1,110.1,102.2,.239,.439,.551,13.3,17.9,.188,.522,13.1,76.6,.223,5,72,17405,3085,6608,.467,803,2258,.356,2282,4350,.525,1184,1536,.771,803,2543,3346,1938,655,364,957,1349,8157,38,34,38,34,1.03,0.04,1.07,112.0,111.0,100.4,.232,.342,.528,11.6,24.2,.179,.535,13.1,78.3,.196,10,8,130,132,0,0,335,53,20,27,40,35,254
17405,3085,6608,.467,803,2258,.356,2282,4350,.525,1184,1536,.771,803,2543,3346,1938,655,364,957,1349,8157,38,34,38,34,1.03,0.04,1.07,112.0,111.0,100.4,.232,.342,.528,11.6,24.2,.179,.535,13.1,78.3,.196,10,72,17305,2973,6347,.468,1048,2789,.376,1925,3558,.541,1193,1520,.785,574,2524,3098,1991,587,342,1080,1526,8187,39,33,38,34,1.06,0.04,1.10,111.1,110.1,102.2,.239,.439,.551,13.3,17.9,.188,.522,13.1,76.6,.223,5,8,135,133,0,0,53,335,27,20,35,40,257
